Loaded 225256 records from compare/pre_reweight_snapshot.csv.gz
...reweighting for year 2021
...weight deviation penalty: 0.01
...gradient norm tolerance: 1e-05
...weight multiplier bounds: [0.1, 10.0]
...GPU available but disabled by user, using CPU
...pre-scaled weights: target filers=160,824,340, current filers=161,180,573, scale=0.997790
Targeting 550 SOI statistics
...input records: 225256, columns: 212
...input weights: total=183102955.22, mean=812.866051, sdev=733.258325
...initial loss: 30.1622806381
...using OSQP solver (ADMM-based QP, proper bounds)
...QP size: 225806 variables, 226356 constraints
...B matrix: 225256x550, 2,705,680 nonzeros (2.2% dense)
...A_osqp: (226356, 225806), 2,932,036 nonzeros
...OSQP initial loss: 30.1622806381
-----------------------------------------------------------------
           OSQP v1.0.0  -  Operator Splitting QP Solver
              (c) The OSQP Developer Team
-----------------------------------------------------------------
problem:  variables n = 225806, constraints m = 226356
          nnz(P) + nnz(A) = 3157842
settings: algebra = Built-in,
          OSQPInt = 4 bytes, OSQPFloat = 8 bytes,
          linear system solver = QDLDL v0.1.8,
          eps_abs = 1.0e-05, eps_rel = 1.0e-05,
          eps_prim_inf = 1.0e-04, eps_dual_inf = 1.0e-04,
          rho = 1.00e-01 (adaptive: 50 iterations),
          sigma = 1.00e-06, alpha = 1.60, max_iter = 50000
          check_termination: on (interval 25, duality gap: on),
          time_limit: 1.00e+10 sec,
          scaling: on (10 iterations), scaled_termination: off
          warm starting: on, polishing: on, 
iter   objective    prim res   dual res   gap        rel kkt    rho         time
   1  -5.3382e-05   1.00e+00   2.00e+02  -1.10e+05   2.00e+02   1.00e-01    7.02e-01s
 200   1.8907e+00   6.09e-03   1.76e-03  -4.69e+00   6.09e-03   1.00e-01    1.71e+00s
 400   8.3715e-01   5.57e-03   7.09e-04  -2.22e+00   5.57e-03   1.00e-01    2.73e+00s
 600   4.7009e-01   1.74e-03   5.14e-04  -1.52e+00   1.74e-03   1.00e-01    3.75e+00s
 800   2.8179e-01   9.62e-04   4.19e-04  -1.17e+00   9.62e-04   1.00e-01    4.77e+00s
1000   1.6785e-01   7.88e-04   3.33e-04  -9.55e-01   7.88e-04   1.00e-01    5.82e+00s
1200   9.2536e-02   6.69e-04   2.56e-04  -7.95e-01   6.69e-04   1.00e-01    6.83e+00s
1400   4.0002e-02   5.66e-04   2.10e-04  -6.75e-01   5.66e-04   1.00e-01    7.85e+00s
1600   1.8064e-03   6.61e-04   1.71e-04  -5.85e-01   6.61e-04   1.00e-01    8.87e+00s
1800  -2.6870e-02   3.04e-04   1.38e-04  -5.13e-01   3.04e-04   1.00e-01    9.88e+00s
2000  -4.8930e-02   3.31e-04   1.15e-04  -4.52e-01   3.31e-04   1.00e-01    1.09e+01s
2200  -6.6271e-02   2.48e-04   9.72e-05  -4.03e-01   2.48e-04   1.00e-01    1.19e+01s
2400  -8.0187e-02   4.45e-04   6.35e-05  -3.62e-01   4.45e-04   1.00e-01    1.29e+01s
2450  -8.3231e-02   3.47e-05   6.40e-05  -3.52e-01   6.40e-05   1.27e-02*   1.32e+01s
2600  -1.2618e-01   1.90e-03   3.73e-05  -2.10e-01   1.90e-03   1.27e-02    1.40e+01s
2800  -1.4742e-01   8.31e-04   3.01e-05  -1.25e-01   8.31e-04   1.27e-02    1.50e+01s
3000  -1.5665e-01   7.36e-04   2.51e-05  -8.32e-02   7.36e-04   1.27e-02    1.61e+01s
3200  -1.6172e-01   1.90e-04   2.14e-05  -6.10e-02   1.90e-04   1.27e-02    1.71e+01s
3400  -1.6499e-01   8.45e-05   1.94e-05  -4.75e-02   8.45e-05   1.27e-02    1.81e+01s
3600  -1.6731e-01   1.20e-04   1.81e-05  -3.87e-02   1.20e-04   1.27e-02    1.91e+01s
3750  -1.6867e-01   4.65e-05   1.65e-05  -3.41e-02   4.65e-05   2.46e-03*   1.99e+01s
3800  -1.7052e-01   6.09e-04   1.49e-05  -2.85e-02   6.09e-04   2.46e-03    2.02e+01s
4000  -1.7497e-01   3.11e-04   1.14e-05  -1.84e-02   3.11e-04   2.46e-03    2.12e+01s
4200  -1.7752e-01   3.73e-04   9.73e-06  -1.48e-02   3.73e-04   2.46e-03    2.22e+01s
4400  -1.7935e-01   4.07e-04   9.28e-06  -1.31e-02   4.07e-04   2.46e-03    2.32e+01s
4600  -1.8078e-01   2.97e-04   7.89e-06  -1.21e-02   2.97e-04   2.46e-03    2.43e+01s
4800  -1.8196e-01   5.01e-04   6.39e-06  -1.14e-02   5.01e-04   2.46e-03    2.53e+01s
5000  -1.8296e-01   3.02e-04   6.12e-06  -1.10e-02   3.02e-04   2.46e-03    2.63e+01s
5200  -1.8381e-01   7.42e-04   5.05e-06  -1.05e-02   7.42e-04   2.46e-03    2.73e+01s
5400  -1.8456e-01   1.04e-04   4.63e-06  -1.03e-02   1.04e-04   2.46e-03    2.83e+01s
5600  -1.8522e-01   2.44e-04   4.36e-06  -1.01e-02   2.44e-04   2.46e-03    2.93e+01s
5800  -1.8581e-01   8.88e-05   4.30e-06  -9.88e-03   8.88e-05   2.46e-03    3.03e+01s
6000  -1.8634e-01   6.26e-04   4.25e-06  -9.75e-03   6.26e-04   2.46e-03    3.13e+01s
6200  -1.8682e-01   1.43e-04   4.20e-06  -9.64e-03   1.43e-04   2.46e-03    3.23e+01s
6400  -1.8726e-01   1.06e-04   4.15e-06  -9.44e-03   1.06e-04   2.46e-03    3.33e+01s
6600  -1.8766e-01   8.75e-05   3.90e-06  -9.18e-03   8.75e-05   2.46e-03    3.43e+01s
6800  -1.8802e-01   5.82e-04   3.20e-06  -8.95e-03   5.82e-04   2.46e-03    3.53e+01s
7000  -1.8835e-01   8.88e-05   3.17e-06  -8.77e-03   8.88e-05   2.46e-03    3.63e+01s
7200  -1.8865e-01   1.18e-04   3.14e-06  -8.59e-03   1.18e-04   2.46e-03    3.73e+01s
7400  -1.8893e-01   1.50e-04   2.90e-06  -8.33e-03   1.50e-04   2.46e-03    3.83e+01s
7600  -1.8919e-01   1.44e-04   2.88e-06  -8.11e-03   1.44e-04   2.46e-03    3.93e+01s
7800  -1.8943e-01   2.15e-04   2.87e-06  -7.96e-03   2.15e-04   2.46e-03    4.03e+01s
8000  -1.8965e-01   1.72e-04   2.81e-06  -7.70e-03   1.72e-04   2.46e-03    4.13e+01s
8200  -1.8985e-01   8.61e-04   2.74e-06  -7.41e-03   8.61e-04   2.46e-03    4.23e+01s
8400  -1.9004e-01   8.43e-05   2.72e-06  -7.20e-03   8.43e-05   2.46e-03    4.33e+01s
8600  -1.9021e-01   1.80e-05   2.49e-06  -7.02e-03   1.80e-05   2.46e-03    4.43e+01s
8800  -1.9037e-01   7.63e-05   2.42e-06  -6.83e-03   7.63e-05   2.46e-03    4.53e+01s
9000  -1.9052e-01   8.54e-04   2.32e-06  -6.62e-03   8.54e-04   2.46e-03    4.63e+01s
9200  -1.9067e-01   2.50e-04   2.29e-06  -6.44e-03   2.50e-04   2.46e-03    4.73e+01s
9400  -1.9080e-01   6.24e-05   2.11e-06  -6.15e-03   6.24e-05   2.46e-03    4.83e+01s
