Loaded 225256 records from compare/pre_reweight_snapshot.csv.gz
...reweighting for year 2021
...weight deviation penalty: 0.01
...gradient norm tolerance: 1e-05
...weight multiplier bounds: [0.1, 10.0]
...GPU available but disabled by user, using CPU
...pre-scaled weights: target filers=160,824,340, current filers=161,180,573, scale=0.997790
Targeting 550 SOI statistics
...input records: 225256, columns: 212
...input weights: total=183102955.22, mean=812.866051, sdev=733.258325
...initial loss: 30.1622806381
...using OSQP solver (ADMM-based QP, proper bounds)
...QP size: 225806 variables, 226356 constraints
...B matrix: 225256x550, 2,705,680 nonzeros (2.2% dense)
...A_osqp: (226356, 225806), 2,932,036 nonzeros
...OSQP initial loss: 30.1622806381
-----------------------------------------------------------------
           OSQP v1.0.0  -  Operator Splitting QP Solver
              (c) The OSQP Developer Team
-----------------------------------------------------------------
problem:  variables n = 225806, constraints m = 226356
          nnz(P) + nnz(A) = 3157842
settings: algebra = Built-in,
          OSQPInt = 4 bytes, OSQPFloat = 8 bytes,
          linear system solver = QDLDL v0.1.8,
          eps_abs = 1.0e-05, eps_rel = 1.0e-05,
          eps_prim_inf = 1.0e-04, eps_dual_inf = 1.0e-04,
          rho = 5.00e-04 (adaptive: 50 iterations),
          sigma = 1.00e-06, alpha = 1.60, max_iter = 50000
          check_termination: on (interval 25, duality gap: on),
          time_limit: 1.00e+10 sec,
          scaling: on (10 iterations), scaled_termination: off
          warm starting: on, polishing: on, 
iter   objective    prim res   dual res   gap        rel kkt    rho         time
   1  -5.3393e-03   1.00e+00   9.99e-01  -5.50e+02   1.00e+00   5.00e-04    7.08e-01s
 200  -1.7992e-01   2.98e-03   8.01e-06  -1.24e-02   2.98e-03   5.00e-04    1.72e+00s
 250  -1.8153e-01   2.07e-02   7.61e-06  -1.14e-02   2.07e-02   2.94e-03*   1.97e+00s
 400  -1.8221e-01   4.12e-04   6.35e-06  -1.11e-02   4.12e-04   2.94e-03    2.80e+00s
 600  -1.8301e-01   1.69e-04   6.15e-06  -1.07e-02   1.69e-04   2.94e-03    3.82e+00s
 800  -1.8373e-01   1.83e-04   5.96e-06  -1.04e-02   1.83e-04   2.94e-03    4.83e+00s
1000  -1.8436e-01   2.89e-04   4.46e-06  -1.02e-02   2.89e-04   2.94e-03    5.85e+00s
1200  -1.8494e-01   3.08e-04   4.25e-06  -9.90e-03   3.08e-04   2.94e-03    6.88e+00s
1400  -1.8546e-01   1.86e-04   4.13e-06  -9.76e-03   1.86e-04   2.94e-03    7.90e+00s
1600  -1.8593e-01   9.78e-05   4.04e-06  -9.62e-03   9.78e-05   2.94e-03    8.92e+00s
1800  -1.8637e-01   4.94e-04   4.01e-06  -9.53e-03   4.94e-04   2.94e-03    9.94e+00s
2000  -1.8677e-01   1.05e-04   3.98e-06  -9.42e-03   1.05e-04   2.94e-03    1.10e+01s
2200  -1.8714e-01   3.20e-04   3.95e-06  -9.31e-03   3.20e-04   2.94e-03    1.20e+01s
2400  -1.8749e-01   1.58e-04   3.92e-06  -9.15e-03   1.58e-04   2.94e-03    1.30e+01s
2600  -1.8781e-01   6.68e-05   3.70e-06  -8.99e-03   6.68e-05   2.94e-03    1.40e+01s
2800  -1.8810e-01   1.57e-04   3.17e-06  -8.77e-03   1.57e-04   2.94e-03    1.50e+01s
3000  -1.8838e-01   4.80e-05   3.15e-06  -8.54e-03   4.80e-05   2.94e-03    1.60e+01s
3200  -1.8863e-01   2.90e-04   3.10e-06  -8.39e-03   2.90e-04   2.94e-03    1.70e+01s
3400  -1.8887e-01   1.72e-04   2.99e-06  -8.16e-03   1.72e-04   2.94e-03    1.80e+01s
3600  -1.8909e-01   1.71e-04   2.89e-06  -7.94e-03   1.71e-04   2.94e-03    1.91e+01s
3800  -1.8929e-01   1.63e-04   2.88e-06  -7.81e-03   1.63e-04   2.94e-03    2.01e+01s
4000  -1.8948e-01   2.85e-04   2.86e-06  -7.73e-03   2.85e-04   2.94e-03    2.11e+01s
4200  -1.8967e-01   3.56e-04   2.77e-06  -7.44e-03   3.56e-04   2.94e-03    2.21e+01s
4400  -1.8983e-01   4.52e-05   2.70e-06  -7.27e-03   4.52e-05   2.94e-03    2.31e+01s
4600  -1.8999e-01   2.13e-05   2.50e-06  -7.10e-03   2.13e-05   2.94e-03    2.41e+01s
4800  -1.9014e-01   7.41e-05   2.48e-06  -6.95e-03   7.41e-05   2.94e-03    2.51e+01s
5000  -1.9028e-01   2.31e-04   2.47e-06  -6.82e-03   2.31e-04   2.94e-03    2.62e+01s
5200  -1.9041e-01   1.38e-04   2.42e-06  -6.61e-03   1.38e-04   2.94e-03    2.72e+01s
5400  -1.9054e-01   9.79e-05   2.36e-06  -6.48e-03   9.79e-05   2.94e-03    2.82e+01s
5600  -1.9065e-01   7.52e-04   2.29e-06  -6.29e-03   7.52e-04   2.94e-03    2.92e+01s
5800  -1.9076e-01   1.71e-04   2.11e-06  -6.07e-03   1.71e-04   2.94e-03    3.02e+01s
6000  -1.9087e-01   5.61e-05   2.10e-06  -5.89e-03   5.61e-05   2.94e-03    3.13e+01s
6200  -1.9096e-01   3.21e-04   2.10e-06  -5.76e-03   3.21e-04   2.94e-03    3.23e+01s
6400  -1.9106e-01   4.07e-05   2.09e-06  -5.59e-03   4.07e-05   2.94e-03    3.33e+01s
6600  -1.9114e-01   3.35e-05   1.87e-06  -5.50e-03   3.35e-05   2.94e-03    3.43e+01s
6800  -1.9123e-01   7.39e-05   1.86e-06  -5.38e-03   7.39e-05   2.94e-03    3.53e+01s
7000  -1.9131e-01   1.42e-05   1.85e-06  -5.26e-03   1.42e-05   2.94e-03    3.63e+01s
7200  -1.9139e-01   8.12e-05   1.85e-06  -5.15e-03   8.12e-05   2.94e-03    3.73e+01s
7400  -1.9146e-01   2.86e-05   1.75e-06  -5.03e-03   2.86e-05   2.94e-03    3.84e+01s
7600  -1.9153e-01   2.08e-05   1.65e-06  -4.91e-03   2.08e-05   2.94e-03    3.94e+01s
7800  -1.9160e-01   4.00e-05   1.64e-06  -4.85e-03   4.00e-05   2.94e-03    4.04e+01s
8000  -1.9167e-01   3.51e-05   1.64e-06  -4.76e-03   3.51e-05   2.94e-03    4.14e+01s
8100  -1.9170e-01   4.59e-06   1.64e-06  -4.73e-03   4.59e-06   5.44e-04*   4.19e+01s
8200  -1.9187e-01   6.81e-04   1.63e-06  -4.55e-03   6.81e-04   5.44e-04    4.25e+01s
8400  -1.9216e-01   4.06e-03   1.44e-06  -4.13e-03   4.06e-03   3.19e-03*   4.35e+01s
8600  -1.9220e-01   3.32e-05   1.35e-06  -4.07e-03   3.32e-05   3.19e-03    4.46e+01s
8800  -1.9224e-01   3.88e-04   1.34e-06  -3.98e-03   3.88e-04   3.19e-03    4.56e+01s
9000  -1.9228e-01   2.48e-05   1.33e-06  -3.89e-03   2.48e-05   3.19e-03    4.66e+01s
9200  -1.9232e-01   4.85e-05   1.33e-06  -3.84e-03   4.85e-05   3.19e-03    4.76e+01s
9400  -1.9236e-01   1.90e-04   1.32e-06  -3.77e-03   1.90e-04   3.19e-03    4.86e+01s
9600  -1.9240e-01   5.47e-06   1.32e-06  -3.75e-03   5.47e-06   3.19e-03    4.96e+01s
9800  -1.9244e-01   6.12e-06   1.31e-06  -3.69e-03   6.12e-06   3.19e-03    5.06e+01s
10000  -1.9248e-01   6.24e-05   1.31e-06  -3.64e-03   6.24e-05   3.19e-03    5.16e+01s
10150  -1.9250e-01   3.67e-06   1.31e-06  -3.62e-03   3.67e-06   5.89e-04*   5.24e+01s
10200  -1.9255e-01   2.04e-03   1.18e-06  -3.57e-03   2.04e-03   5.89e-04    5.27e+01s
10400  -1.9272e-01   1.87e-03   1.17e-06  -3.32e-03   1.87e-03   5.89e-04    5.37e+01s
10600  -1.9288e-01   9.98e-04   1.05e-06  -3.14e-03   9.98e-04   5.89e-04    5.47e+01s
10800  -1.9302e-01   2.02e-03   1.05e-06  -3.05e-03   2.02e-03   5.89e-04    5.57e+01s
11000  -1.9314e-01   9.74e-04   9.99e-07  -2.86e-03   9.74e-04   5.89e-04    5.68e+01s
11200  -1.9326e-01   2.81e-04   8.89e-07  -2.72e-03   2.81e-04   5.89e-04    5.78e+01s
11400  -1.9336e-01   1.19e-04   8.87e-07  -2.63e-03   1.19e-04   5.89e-04    5.88e+01s
11600  -1.9346e-01   1.02e-04   8.47e-07  -2.52e-03   1.02e-04   5.89e-04    5.98e+01s
11800  -1.9354e-01   1.03e-04   7.82e-07  -2.41e-03   1.03e-04   5.89e-04    6.08e+01s
12000  -1.9363e-01   3.22e-04   7.81e-07  -2.36e-03   3.22e-04   5.89e-04    6.18e+01s
12200  -1.9370e-01   5.61e-04   7.38e-07  -2.27e-03   5.61e-04   5.89e-04    6.28e+01s
12400  -1.9377e-01   1.75e-04   7.15e-07  -2.18e-03   1.75e-04   5.89e-04    6.38e+01s
12600  -1.9384e-01   1.08e-04   6.88e-07  -2.12e-03   1.08e-04   5.89e-04    6.48e+01s
12800  -1.9390e-01   2.15e-05   6.40e-07  -2.09e-03   2.15e-05   5.89e-04    6.58e+01s
13000  -1.9395e-01   3.15e-05   6.07e-07  -2.04e-03   3.15e-05   5.89e-04    6.69e+01s
13200  -1.9401e-01   2.65e-04   6.05e-07  -2.01e-03   2.65e-04   5.89e-04    6.79e+01s
13400  -1.9406e-01   1.16e-04   5.55e-07  -1.97e-03   1.16e-04   5.89e-04    6.89e+01s
13600  -1.9411e-01   9.39e-05   5.54e-07  -1.95e-03   9.39e-05   5.89e-04    6.99e+01s
