Loaded 225256 records from compare/pre_reweight_snapshot.csv.gz
...reweighting for year 2021
...weight deviation penalty: 0.01
...gradient norm tolerance: 1e-05
...weight multiplier bounds: [0.1, 10.0]
...GPU available but disabled by user, using CPU
...pre-scaled weights: target filers=160,824,340, current filers=161,180,573, scale=0.997790
Targeting 550 SOI statistics
...input records: 225256, columns: 212
...input weights: total=183102955.22, mean=812.866051, sdev=733.258325
...initial loss: 30.1622806381
...using OSQP solver (ADMM-based QP, proper bounds)
...QP size: 225806 variables, 226356 constraints
...B matrix: 225256x550, 2,705,680 nonzeros (2.2% dense)
...A_osqp: (226356, 225806), 2,932,036 nonzeros
...OSQP initial loss: 30.1622806381
-----------------------------------------------------------------
           OSQP v1.0.0  -  Operator Splitting QP Solver
              (c) The OSQP Developer Team
-----------------------------------------------------------------
problem:  variables n = 225806, constraints m = 226356
          nnz(P) + nnz(A) = 3157842
settings: algebra = Built-in,
          OSQPInt = 4 bytes, OSQPFloat = 8 bytes,
          linear system solver = QDLDL v0.1.8,
          eps_abs = 1.0e-05, eps_rel = 1.0e-05,
          eps_prim_inf = 1.0e-04, eps_dual_inf = 1.0e-04,
          rho = 5.00e-04 (adaptive: 50 iterations),
          sigma = 1.00e-04, alpha = 1.60, max_iter = 50000
          check_termination: on (interval 25, duality gap: on),
          time_limit: 1.00e+10 sec,
          scaling: on (10 iterations), scaled_termination: off
          warm starting: on, polishing: on, 
iter   objective    prim res   dual res   gap        rel kkt    rho         time
   1  -4.7031e-03   1.00e+00   9.99e-01  -5.50e+02   1.00e+00   5.00e-04    6.83e-01s
 200  -1.7835e-01   7.42e-03   9.43e-06  -1.38e-02   7.42e-03   5.00e-04    1.70e+00s
 400  -1.8341e-01   1.34e-03   6.03e-06  -1.06e-02   1.34e-03   5.00e-04    2.73e+00s
 600  -1.8613e-01   1.38e-03   4.02e-06  -9.62e-03   1.38e-03   5.00e-04    3.74e+00s
 800  -1.8790e-01   1.13e-03   3.60e-06  -8.98e-03   1.13e-03   5.00e-04    4.80e+00s
1000  -1.8913e-01   3.43e-04   2.89e-06  -8.01e-03   3.43e-04   5.00e-04    5.85e+00s
1200  -1.9001e-01   4.16e-04   2.51e-06  -7.16e-03   4.16e-04   5.00e-04    6.87e+00s
1400  -1.9066e-01   4.62e-04   2.29e-06  -6.31e-03   4.62e-04   5.00e-04    7.91e+00s
1600  -1.9114e-01   3.97e-04   1.87e-06  -5.51e-03   3.97e-04   5.00e-04    8.93e+00s
1800  -1.9152e-01   2.73e-03   1.65e-06  -4.95e-03   2.73e-03   5.00e-04    9.95e+00s
2000  -1.9184e-01   9.99e-05   1.63e-06  -4.63e-03   9.99e-05   5.00e-04    1.10e+01s
2200  -1.9211e-01   2.52e-04   1.44e-06  -4.22e-03   2.52e-04   5.00e-04    1.20e+01s
2400  -1.9233e-01   1.98e-04   1.33e-06  -3.85e-03   1.98e-04   5.00e-04    1.30e+01s
2600  -1.9253e-01   2.00e-04   1.30e-06  -3.61e-03   2.00e-04   5.00e-04    1.40e+01s
2800  -1.9270e-01   4.48e-05   1.17e-06  -3.36e-03   4.48e-05   5.00e-04    1.51e+01s
3000  -1.9286e-01   5.32e-04   1.05e-06  -3.19e-03   5.32e-04   5.00e-04    1.61e+01s
3200  -1.9299e-01   6.75e-05   1.05e-06  -3.08e-03   6.75e-05   5.00e-04    1.71e+01s
3400  -1.9312e-01   1.65e-04   1.04e-06  -2.90e-03   1.65e-04   5.00e-04    1.81e+01s
